,Ryan,Bennett,D,1990-03-06,,31,2,Inghilterra,Swansea City
,Connor,Roberts,D,1995-09-23,,26,2,Galles,Swansea City
,Matt,Grimes,C,1995-07-15,,26,5,Inghilterra,Swansea City
,Conor,Hourihane,C,1991-02-02,,32,4,Irlanda,Swansea City
,Jay,Fulton,C,1994-04-04,,27,1,Scozia,Swansea City
,Paul,Arriola,C,1995-02-05,,26,2,Stati Uniti,Swansea City
,Jordan,Morris,A,/199-ot-264,,27,3,Stati Uniti,Swansea City
,André,Ayew,A,1989-12-17,,32,2,Ghana,Swansea City
,Ben,Foster,P,1983-04-03,,38,1,Inghlterra,Watford
,Rob,Elliot,P,1986-04-30,,35,1,Irlanda,Watford
,Christian,Kabasele,D,1991-02-24,,30,3,Belgio,Watford
,William,Troost-Ekong,D,1993-09-01,,28,2,Nigeria,Watford
,Ben,Wilmot,D,1999-11-04,,22,2,Inghilterra,Watford
,Adam,Masina,D,1994-01-02,,27,3,Italia,Watford
,Nathaniel,Chalobah,C,1994-12-12,,27,3,Italia,Watford
,Will,Hughes,C,1995-04-17,,26,6,Inghilterra,Watford
,Tom,Cleverley,C,1989-08-12,,32,2,Inghilterra,Watford
,Ken,Sema,C,1993-09-30,,28,3,Svezia,Watford
,Ismaïla,Sarr,A,1998-02-25,,23,16,Senegal,Watford
,João,Pedro,A,2001-09-26,,20,7,Brasile,Watford
,Giorgi,Makaridze,P,1990-03-31,,31,1,Georgia,Almerìa
,Fernando,Martínez,P,1990-06-10,,31,1,Spagna,Almerìa
,Jorge,Cuenca,D,1999-10-17,,22,2,Spagna,Almerìa
,Chumi,,D,1999-03-02,,22,1,Spagna,Almerìa
,Sergio,Akieme,D,1997-12-16,,24,2,Guinea,Almerìa
,Álex,Centelles,D,1999-08-30,,22,2,Spagna,Almerìa
,Samú,Costa,C,2000-11-27,,21,2,Portogallo,Almerìa
,Lucas,Robertone,C,1997-03-18,,24,3,Argentina,Almerìa
,Manu,Morlanes,C,1999-01-12,,22,2,Spagna,Almerìa
,João,Carvalho,C,1997-03-09,,24,3,Portogallo,Almerìa
,Brian,Rodríguez,A,2000-05-20,,21,7,Uruguay,Almerìa
,Umar,Sadiq,A,1997-02-02,,24,4,Nigeria,Almerìa
,Diego,López,P,1981-11-03,,40,1,Spagna,Espanyol
,Oier,Olazábal,P,1989-09-14,,32,1,Spagna,Espanyol
,Leandro,Cabrera,D,1991-06-17,,32,3,Uruguay,Espanyol
,Fernando,Calero,D,1995-09-14,,26,2,Spagna,Espanyol
,Adrià,Pedrosa,D,1998-05-13,,23,3,Spagna,Espanyol
,Dídac,Vilà,D,1989-06-09,,32,1,Spagna,Espanyol
,David,López,C,1989-10-09,,32,2,Spagna,Espanyol
,Sergi,Darder,C,1993-12-22,,28,4,Spagna,Espanyol
,Fran,Mérida,C,1990-03-04,,31,1,Spagna,Espanyol
,Nico,Melamed,C,2001-04-11,,20,2,Spagna,Espanyol
,Adrián,Embarba,A,1992-05-07,,29,4,Spagna,Espanyol
,Raúl,De Tomás,A,1994-10-17,,27,6,Spagna,Espanyol
,Adrián,Ortolá,P,1993-08-20,,28,1,Spagna,Girona
,Juan,Carlos,P,1988-01-20,,33,1,Spagna,Girona
,Bernardo,Espinosa,D,1989-07-11,,32,2,Colombia,Girona
,Juanpe,,D,1991-04-30,,30,1,Spagna,Girona
,Antonio,Luna,D,1991-03-17,,30,1,Spagna,Girona
,Yan,Couto,D,2002-06-03,,19,2,Brasile,Girona
,Gerard,Gumbau,C,1994-12-18,,27,1,Spagna,Girona
,Monchu,,C,1999-09-13,,22,3,Spagna,Girona
,Sebastián,Cristóforo,C,1993-08-23,,28,1,Uruguay,Girona
,Samu,Saiz,A,1991-01-22,,30,1,Spagna,Girona
,Valery,Fernández,A,1999-11-23,,22,1,Spagna,Girona
,Nahuel,Bustos,A,1998-07-04,,23,3,Argentina,Girona
,Álvaro,Valles,P,1997-05-25,,24,1,Spagna,Las Palmas
,Álex,Domínguez,P,1998-07-30,,23,1,Spagna,Las Palmas
,Alex,Suárez,D,1995-10-10,,26,1,Spagna,Las Palmas
,Aythami,Artiles,D,/198-ap-026,,35,1,Spagna,Las Palmas
,Álvaro,Lemos,D,1993-03-30,,28,1,Spagna,Las Palmas
,Ale,Díez,D,1996-02-17,,5,1,Spagna,Las Palmas
,Eric,Curbelo,D,1996-02-17,,25,1,Spagna,Las Palmas
,Enzo,Loiodice,C,2000-11-27,,21,2,Francia,Las Palmas
,Christian,Rivera,C,1997-07-09,,24,1,Spagna,Las Palmas
,Sergio,Ruiz,C,1994-12-16,,27,1,Spagna,Las Palmas
,Óscar,Clemente,C,1999-03-26,,22,1,Spagna,Las Palmas
,Jesé,Rodriguez,A,1993-02-26,,28,2,Spagna,Las Palmas
,Rober,González,A,2001-01-06,,20,1,Spagna,Las Palmas
,Diego,Conde,P,1998-10-28,,23,1,Spagna,Leganés
,Iván,Cuéllar,P,1984-05-25,,37,1,Spagna,Leganés
,Unai,Bustinza,D,1992-02-02,,29,2,Spagna,Leganés
,Kenneth,Omeruo,D,1993-10-17,,28,1,Nigeria,Leganés
,Rodri,Tarín,D,1996-07-05,,25,1,Spagna,Leganés
,Javi,Hernández,D,1998-05-02,,23,1,Spagna,Leganés
,Rubén,Pérez,C,1989-04-26,,32,2,Spagna,Leganés
,Luis,Perea,C,1997-08-25,,24,1,Spagna,Leganés
,Rubén,Pardo,C,1992-10-22,,29,2,Spagna,Leganés
,Javi,Eraso,C,1990-03-22,,31,1,Spagna,Leganés
,José,Manuel Arnáiz,A,1995-04-15,,26,1,Spagna,Leganés
,Borja,Bastón,A,1992-08-25,,29,2,Spagna,Leganés
,Juan,Soriano,P,1997-08-23,,24,1,Spagna,Malaga
,Dani,Barrio,P,1987-08-23,,34,1,Spagna,Malaga
,Juande,Rivas,D,1999-07-07,,22,1,Spagna,Malaga
,David,Lombán,D,1987-06-05,,34,1,Spagna,Malaga
,José,Matos,D,1995-05-06,,26,1,Spagna,Malaga
,Ismael,Casas,D,2001-03-07,,20,1,Spagna,Malaga
,Luis,Muñoz,C,1997-02-23,,24,1,Spagna,Malaga
,Alberto,Escassi,C,1989-02-28,,32,1,Spagna,Malaga
,Ramón,Enríquez,C,2001-04-19,,20,1,Spagna,Malaga
,Jozabed,Sánchez,C,1991-03-08,,30,1,Spagna,Malaga
,Yanis,Rahmani,A,1995-05-13,,26,1,Francia,Malaga
,Pablo,Chavarría,A,1988-01-02,,33,1,Argentina,Malaga
,Koke,Vegas,P,1995-09-27,,26,1,Spagna,Mallorca
,Manolo,Reina,P,1985-04-01,,36,1,Spagna,Mallorca
,Martin,Valjent,D,1995-12-11,,26,3,Slovacchia,Mallorca
,Antonio,Raíllo,D,1991-10-08,,30,1,Spagna,Mallorca
,Joan,Sastre,D,1997-04-30,,24,1,Spagna,Mallorca
,Fran,Gámez,D,1991-07-27,,30,1,Spagna,Mallorca
,Aleix,Febas,C,1996-02-22,,25,1,Spagna,Mallorca
,Iddrisu,Baba,C,1996-01-22,,25,1,Ghana,Mallorca
,Antonio,Sánchez,C,1997-04-22,,24,1,Spagna,Mallorca
,Dani,Rodríguez,C,1988-06-06,,33,1,Spagna,Mallorca
,Víctor,Mollejo,A,2001-01-21,,20,2,Spagna,Mallorca
,Álvaro,Giménez,A,1991-05-19,,30,2,Spagna,Mallorca
,Luca,Zidane,P,1998-05-13,,23,1,Francia,Rayo Vallecano
,Stole,Dimitrievski,P,1993-12-25,,28,1,Macedonia,Rayo Vallecano
,Emiliano,Velázquez,D,1994-04-30,,27,1,Uruguay,Rayo Vallecano
,Alejandro,Catena,D,1994-04-30,,28,1,Spagna,Rayo Vallecano
,Martín,Pascual,D,1999-08-04,,22,1,Spagna,Rayo Vallecano
,Iván,Martos,D,1997-05-15,,24,1,Spagna,Rayo Vallecano
,Mario,Suárez,C,1987-02-24,,34,1,Spagna,Rayo Vallecano
,Santi,Comesaña,C,1996-10-05,,25,1,Spagna,Rayo Vallecano
,José,Pozo,C,1996-03-15,,25,1,Spagna,Rayo Vallecano
,Álvaro,García,A,1992-10-27,,29,1,Spagna,Rayo Vallecano
,Isi,Palazón,A,1994-12-27,,27,1,Spagna,Rayo Vallecano
,Antoñín,,A,2000-04-16,,21,1,Spagna,Rayo Vallecano
,Sven,Ulreich,P,1988-08-03,Adidas,33,6,Germania,Bayern Monaco
,David,Alaba,D,1992-06-24,Adidas,29,28,Austria,Bayern Monaco
,Lucas,Hernandez,D,1996-02-14,Nike,25,33,Francia,Bayern Monaco
,Joshua,Kimmich,D,1995-02-08,Nike,26,39,Germania,Bayern Monaco
,Jerome,Boateng,D,1988-09-03,Nike,33,13,Germania,Bayern Monaco
,Serge,Gnabry,C,1995-07-14,Nike,26,43,Germania,Bayern Monaco
,Leon,Goretzka,C,1995-02-06,Nike,26,30,Germania,Bayern Monaco
,Corentin,Tolisso,C,1994-08-03,,27,14,Francia,Bayern Monaco
,Javi,Martinez,C,1988-09-02,Adidas,33,10,Spagna,Bayern Monaco
,Robert,Lewandowski,A,1988-08-21,Nike,33,59,Polonia,Bayern Monaco
,Thomas,Muller,A,1989-09-13,Adidas,32,28,Germania,Bayern Monaco
,Kingsley,Coman,A,1996-06-13,Nike,25,30,Francia,Bayern Monaco
,Roman,Burki,P,1990-11-14,,31,3,Svizzera,Borussia Dortmund
,Marwin,Hitz,P,1987-09-18,,34,1,Svizzera,Borussia Dortmund
,Manuel,Akanji,D,1995-07-19,,26,8,Svizzera,Borussia Dortmund
,Mats,Hummels,D,1988-12-16,Adidas,33,13,Germania,Borussia Dortmund
,Lukas,Piszczek,D,1985-06-03,Adidas,36,9,Polonia,Borussia Dortmund
,Marcel,Schmelzer,D,1988-01-22,,33,5,Germania,Borussia Dortmund
,Julian,Brandt,C,1996-05-02,Nike,25,18,Germania,Borussia Dortmund
,Emre,Can,C,1994-01-12,Nike,27,18,Germania,Borussia Dortmund
,Mahmoud,Dahoud,C,1996-01-01,Nike,25,17,Germania,Borussia Dortmund
,Erling,Haaland,A,2000-07-21,Nike,21,54,Norvegia,Borussia Dortmund
,Marco,Reus,A,1989-05-31,Puma,32,23,Germania,Borussia Dortmund
,Yann,Sommer,P,1988-12-17,,33,5,Svizzera,Borussia Monchengladbach
,Nico,Elvedi,D,1996-09-30,,25,9,Svizzera,Borussia Monchengladbach
,Matthias,Ginter,D,1994-01-19,,27,13,Germania,Borussia Monchengladbach
,Oscar,Wendt,D,1985-10-24,,36,2,Svezia,Borussia Monchengladbach
,Tony,Jantschke,D,1990-04-07,,31,6,Germania,Borussia Monchengladbach
,Patrick,Herrmann,C,1991-02-12,,30,9,Germania,Borussia Monchengladbach
,Jonas,Hofmann,C,1992-07-14,,29,7,Germania,Borussia Monchengladbach
,Christoph,Kramer,C,1991-02-19,,30,12,Germania,Borussia Monchengladbach
,Breel,Embolo,A,1997-02-14,Nike,24,19,Svizzera,Borussia Monchengladbach
,Alassane,Plea,A,1993-03-10,Nike,28,18,Francia,Borussia Monchengladbach
