,Aleix,Febas,C,22/02/1996,,25,1,Spagna,Mallorca
,Iddrisu,Baba,C,22/01/1996,,25,1,Ghana,Mallorca
,Antonio,Sánchez,C,22/04/1997,,24,1,Spagna,Mallorca
,Dani,Rodríguez,C,06/06/1988,,33,1,Spagna,Mallorca
,Víctor,Mollejo,A,21/01/2001,,20,2,Spagna,Mallorca
,Álvaro,Giménez,A,19/05/1991,,30,2,Spagna,Mallorca
,Luca,Zidane,P,13/05/1998,,23,1,Francia,Rayo Vallecano
,Stole,Dimitrievski,P,25/12/1993,,28,1,Macedonia,Rayo Vallecano
,Emiliano,Velázquez,D,30/04/1994,,27,1,Uruguay,Rayo Vallecano
,Alejandro,Catena,D,30/04/1994,,28,1,Spagna,Rayo Vallecano
,Martín,Pascual,D,04/08/1999,,22,1,Spagna,Rayo Vallecano
,Iván,Martos,D,15/05/1997,,24,1,Spagna,Rayo Vallecano
,Mario,Suárez,C,24/02/1987,,34,1,Spagna,Rayo Vallecano
,Santi,Comesaña,C,05/10/1996,,25,1,Spagna,Rayo Vallecano
,José,Pozo,C,15/03/1996,,25,1,Spagna,Rayo Vallecano
,Álvaro,García,A,27/10/1992,,29,1,Spagna,Rayo Vallecano
,Isi,Palazón,A,27/12/1994,,27,1,Spagna,Rayo Vallecano
,Antoñín,,A,16/04/2000,,21,1,Spagna,Rayo Vallecano











